hospital_rank,name
"
                                    (三甲, 特色:综合)                                    ",中日医院
"
                                    (三甲, 特色:心血管)                                    ",北京安贞医院
"
                                    (三甲, 特色:呼吸)                                    ",北京朝阳医院
"
                                    (三甲, 特色:儿童)                                    ",首都儿科研究所附属儿童医院
"
                                    (三甲, 特色:肿瘤)                                    ",医科院肿瘤医院
"
                                    (三甲, 特色:妇产)                                    ",北京妇产医院
"
                                    (三甲, 特色:综合)                                    ",战略支援部队特色医学中心
"
                                    (三级)                                    ",航空总医院
"
                                    (三甲)                                    ",北京中医药大学第三附属医院
"
                                    (三级)                                    ",民航总医院
"
                                    (三甲, 特色:中医)                                    ",望京医院
"
                                    (三级, 特色:心血管)                                    ",北京华信医院
"
                                    (三甲, 特色:传染)                                    ",北京地坛医院
"
                                    (三级)                                    ",应急管理部应急总医院
"
                                    (三级)                                    ",垂杨柳医院
"
                                                                        ",北大口腔医院第二门诊部
"
                                    (三甲)                                    ",北京市第一中西医结合医院
"
                                    (二级)                                    ",北京市朝阳区双桥医院
"
                                    (二甲)                                    ",朝阳区妇儿医院
"
                                    (二级)                                    ",朝阳区第三医院
"
                                                                        ",中国聋儿康复研究中心听力门诊部
"
                                                                        ",北京大学口腔医院第四门诊部
"
                                                                        ",北京爱尔英智眼科医院
"
                                                                        ",北大口腔五门诊
"
                                                                        ",北京市朝阳区望京社区卫生服务中心
"
                                    (一级)                                    ",北京联合丽格第一医疗美容医院
"
                                                                        ",北京木棉花诊所
"
                                                                        ",八里庄第二社区卫生服务中心
"
                                                                        ",南磨房社区卫生服务中心
"
                                    (二级)                                    ",北京瑞泰口腔医院
"
                                                                        ",垡头社区卫生服务中心
"
                                                                        ",北京润德口腔门诊部
"
                                                                        ",北京禾普诊所
"
                                                                        ",朝阳区潘家园第二社区卫生服务中心
"
                                    (二甲)                                    ",朝阳区中医医院
"
                                                                        ",朝阳区团结湖社区卫生服务中心
"
                                                                        ",北京新视野眼科医院
"
                                    (一级)                                    ",北京联合丽格第二医疗美容医院
"
                                                                        ",北京市朝阳区劲松社区卫生服务中心
"
                                                                        ",北京市朝阳区双井社区卫生服务中心
"
                                                                        ",北京京美医疗美容门诊部
"
                                                                        ",北京何方方运世达诊所
"
                                                                        ",朝阳区小红门社区卫生服务中心
"
                                                                        ",北京市朝阳区太阳宫社区卫生服务中心
"
                                                                        ",北京市朝阳区六里屯社区卫生服务中心
"
                                                                        ",斯迈尔齿科
"
                                                                        ",普瑞美口腔
"
                                                                        ",朝阳区金盏医院
"
                                                                        ",东坝社区卫生服务中心
"
                                                                        ",酒仙桥社区卫生服务中心
"
                                                                        ",北京市朝阳区孙河社区卫生服务中心
"
                                                                        ",有明中医
"
                                                                        ",爱康体检宝
"
                                    (三级)                                    ",北京市红十字会急诊抢救中心
"
                                                                        ",北京市朝阳区亚运村社区卫生服务中心
"
                                    (二甲)                                    ",北京市老年病医院
"
                                                                        ",北京雅和亚运村妇儿门诊部
"
                                    (三甲)                                    ",北京急救中心
"
                                                                        ",北京市朝阳区亚运村街道安翔里社区卫生服务站
"
                                                                        ",北京市朝阳区望京街道花家地西里社区卫生服务站
"
                                    (一级)                                    ",北京市朝阳区望京街道南湖中园社区卫生服务站
